all_riders,rider_class,stage,points,stage_class
Thibau Nys,Unclassed,X9,4,Flat
Thibau Nys,Unclassed,X10,0,Hills
Thibau Nys,Unclassed,X11,0,Hills
Thibau Nys,Unclassed,X12,12,Mount
Thibau Nys,Unclassed,X14,0,Mount
Thibau Nys,Unclassed,X15,40,Hills
Thibau Nys,Unclassed,X16,0,Mount
Thibau Nys,Unclassed,X17,8,Flat
Thibau Nys,Unclassed,X18,2,Mount
Thibau Nys,Unclassed,X19,5,Mount
Thibau Nys,Unclassed,X20,0,Hills
Thibau Nys,Unclassed,X21,0,Flat
Arnaud De Lie,Sprinter,X1,0,Flat
Arnaud De Lie,Sprinter,X2,0,Hills
Arnaud De Lie,Sprinter,X3,0,Flat
Arnaud De Lie,Sprinter,X4,0,Hills
Arnaud De Lie,Sprinter,X6,0,Hills
Arnaud De Lie,Sprinter,X7,0,Hills
Arnaud De Lie,Sprinter,X8,120,Flat
Arnaud De Lie,Sprinter,X9,162,Flat
Arnaud De Lie,Sprinter,X10,0,Hills
Arnaud De Lie,Sprinter,X11,144,Hills
Arnaud De Lie,Sprinter,X12,0,Mount
Arnaud De Lie,Sprinter,X14,0,Mount
Arnaud De Lie,Sprinter,X15,16,Hills
Arnaud De Lie,Sprinter,X16,0,Mount
Arnaud De Lie,Sprinter,X17,140,Flat
Arnaud De Lie,Sprinter,X18,0,Mount
Arnaud De Lie,Sprinter,X19,0,Mount
Arnaud De Lie,Sprinter,X20,0,Hills
Arnaud De Lie,Sprinter,X21,95,Flat
Jordi Meeus,Sprinter,X1,5,Flat
Jordi Meeus,Sprinter,X2,0,Hills
Jordi Meeus,Sprinter,X3,0,Flat
Jordi Meeus,Sprinter,X4,0,Hills
Jordi Meeus,Sprinter,X6,0,Hills
Jordi Meeus,Sprinter,X7,0,Hills
Jordi Meeus,Sprinter,X8,0,Flat
Jordi Meeus,Sprinter,X9,80,Flat
Jordi Meeus,Sprinter,X10,0,Hills
Jordi Meeus,Sprinter,X11,0,Hills
Jordi Meeus,Sprinter,X12,2,Mount
Jordi Meeus,Sprinter,X14,2,Mount
Jordi Meeus,Sprinter,X15,4,Hills
Jordi Meeus,Sprinter,X16,4,Mount
Jordi Meeus,Sprinter,X17,184,Flat
Jordi Meeus,Sprinter,X18,4,Mount
Jordi Meeus,Sprinter,X19,4,Mount
Jordi Meeus,Sprinter,X20,4,Hills
Jordi Meeus,Sprinter,X21,4,Flat
Aleksandr Vlasov,All Rounder,X1,0,Flat
Aleksandr Vlasov,All Rounder,X2,0,Hills
Aleksandr Vlasov,All Rounder,X3,0,Flat
Aleksandr Vlasov,All Rounder,X4,0,Hills
Aleksandr Vlasov,All Rounder,X6,0,Hills
Aleksandr Vlasov,All Rounder,X7,0,Hills
Aleksandr Vlasov,All Rounder,X8,0,Flat
Aleksandr Vlasov,All Rounder,X9,0,Flat
Aleksandr Vlasov,All Rounder,X10,0,Hills
Aleksandr Vlasov,All Rounder,X11,0,Hills
Aleksandr Vlasov,All Rounder,X12,2,Mount
